49765	
	(-4.077228724e-09,-1.119036486e-09)	(1.08172628e-08,-1.827377457e-08)	(-9.665675761e-07,-5.189472763e-07)	(3.460699597e-08,-5.052755523e-08)	(-9.930335358e-07,-5.124367914e-07)
	(2.307968447e-08,-3.249811736e-08)	(-9.85002276e-07,-5.15160238e-07)	(-1.019683221e-07,1.370310702e-07)	(3.058584558e-08,-4.283749908e-08)	(-9.70056566e-07,-5.177868396e-07)
	(1.785461074e-08,-2.806843515e-08)	(-9.500151401e-07,-5.231388271e-07)	(1.624947883e-08,-2.370795977e-08)	(-9.317118174e-07,-5.316151029e-07)	(4.63419414e-08,-7.481002007e-08)
	(-8.521719544e-07,-5.93209742e-07)	(4.198793621e-08,-6.215561008e-08)	(-9.786860924e-07,-5.143368298e-07)	(5.758239996e-08,-8.917164692e-08)	(-1.004934387e-06,-5.102016249e-07)
	(5.01983455e-08,-7.489353496e-08)	(-1.028188634e-06,-5.100994128e-07)	(4.739315685e-08,-6.980794814e-08)	(-1.002621727e-06,-5.098203843e-07)	(-2.321297018e-07,2.824137921e-07)
	(5.52770705e-08,-8.426389211e-08)	(-9.847851958e-07,-5.103700985e-07)	(1.774557204e-08,-4.909276252e-08)	(-1.16256023e-06,-7.729121629e-07)	(2.49743151e-08,-6.520724096e-08)
	(-1.155203663e-06,-7.826761165e-07)	(1.803771898e-08,-4.730429348e-08)	(-1.150072985e-06,-7.885855205e-07)	(-1.737079752e-07,1.864361987e-07)	(1.686379491e-08,-5.072278514e-08)
	(-1.136621659e-06,-8.026799275e-07)	(2.306449945e-08,-6.679657031e-08)	(-1.142219814e-06,-7.983457476e-07)	(1.366005323e-08,-3.590239193e-08)	(-1.097852947e-06,-8.342520029e-07)
	(-1.290551228e-07,1.205980761e-07)	(1.343428906e-08,-4.303623999e-08)	(-1.111554619e-06,-8.265246454e-07)	(1.890046612e-08,-5.788894714e-08)	(-1.099297787e-06,-8.339784533e-07)
	(1.472287273e-08,-4.42086846e-08)	(-1.084025956e-06,-8.42611035e-07)	(1.560687963e-08,-5.262692198e-08)	(-1.122755737e-06,-8.163877178e-07)	(-1.802773085e-07,1.904597853e-07)
	(2.304595561e-08,-6.883107849e-08)	(-1.129048408e-06,-8.108482657e-07)	(2.011890032e-08,-6.42515164e-08)	(-1.112682884e-06,-8.244953515e-07)	(2.054695905e-08,-4.755036458e-08)
	(-1.19458018e-06,-6.926322395e-07)	(-1.815760064e-07,2.015987601e-07)	(2.068311221e-08,-4.945017918e-08)	(-1.192332459e-06,-7.058375073e-07)	(2.475589341e-08,-5.97663131e-08)
