49765	
	(-3.581101076e-34,-8.061616186e-34)	(7.291657281e-07,-1.892957969e-07)	(-9.7878775e-12,-4.602927739e-13)	(-3.182434588e-34,-8.044227918e-34)	(7.239422159e-07,-1.9725463e-07)
	(5.414035354e-09,1.537156023e-08)	(7.293911267e-07,-1.889368684e-07)	(-3.998701245e-34,-8.026472791e-34)	(7.355307205e-07,-1.815999977e-07)	(1.388576133e-08,2.803066758e-08)
	(7.881356574e-07,-1.491048106e-07)	(-1.007205762e-08,-1.18540848e-07)	(2.099436821e-08,4.090324058e-08)	(7.929288969e-07,-1.475305877e-07)	(1.3283282e-08,2.849160315e-08)
	(7.765461553e-07,-1.531024246e-07)	(1.914582446e-08,3.964509472e-08)	(7.810034973e-07,-1.511784685e-07)	(3.133443694e-08,4.87103594e-08)	(8.426737979e-07,-1.445129043e-07)
	(2.297546974e-08,3.708523601e-08)	(8.348150023e-07,-1.44146006e-07)	(-1.309597055e-08,-1.720274852e-07)	(2.753821839e-08,4.585218826e-08)	(8.265571268e-07,-1.434794982e-07)
	(3.416121275e-08,5.471402228e-08)	(8.34369845e-07,-1.433954878e-07)	(3.849573567e-08,6.553726273e-08)	(8.151445973e-07,-1.429473992e-07)	(3.177422964e-08,5.438174187e-08)
	(8.182647728e-07,-1.432979457e-07)	(-1.962216075e-08,-2.510044764e-07)	(3.825605585e-08,6.275888742e-08)	(8.259706217e-07,-1.426628949e-07)	(3.001182342e-08,5.377384349e-08)
	(8.078329951e-07,-1.442166113e-07)	(3.661656785e-08,6.515311136e-08)	(8.047494247e-07,-1.441890769e-07)	(2.613670102e-08,5.197552451e-08)	(7.855043978e-07,-1.493154045e-07)
	(3.219070632e-08,6.159270498e-08)	(7.894903831e-07,-1.4772161e-07)	(3.6437314e-08,6.714637243e-08)	(7.95384066e-07,-1.459100933e-07)	(2.823977982e-08,5.299853057e-08)
	(7.976900629e-07,-1.460402103e-07)	(-1.935611079e-08,-2.352172329e-07)	(1.464693675e-08,1.095346688e-08)	(1.146428592e-06,-2.132861448e-07)	(-7.554999012e-34,7.453909733e-35)
	(1.127199325e-06,-1.869441278e-07)	(1.435264426e-08,1.113338666e-08)	(1.13583355e-06,-1.973852142e-07)	(-7.639340588e-34,1.89719265e-35)	(1.139300031e-06,-2.028867791e-07)
	(1.043120579e-10,1.547099156e-10)	(-8.528398596e-34,-5.47161566e-35)	(1.097784809e-06,-1.596434486e-07)	(2.004763319e-08,1.723608974e-08)	(1.110068179e-06,-1.688616171e-07)
	(1.462862869e-08,1.19332926e-08)	(1.123033399e-06,-1.820484801e-07)	(-8.567095679e-34,-1.204706171e-34)	(1.113324138e-06,-1.725528515e-07)	(-4.645150919e-11,-9.635751085e-11)
