49765	
	(1.408636668e-08,-4.651736634e-08)	(-1.058602176e-06,-3.490144802e-07)	(1.79721324e-08,-6.772782135e-08)	(-1.054095407e-06,-3.693578594e-07)	(1.95836863e-08,-6.894497562e-08)
	(-1.055987374e-06,-3.5690159e-07)	(1.289156401e-08,-4.542966725e-08)	(-1.055957105e-06,-3.61285238e-07)	(-7.975136979e-08,1.543571852e-07)	(1.973021157e-08,-9.788814255e-08)
	(-1.052956453e-06,-4.043105977e-07)	(1.839200753e-08,-8.249446612e-08)	(-1.052836475e-06,-3.935297202e-07)	(1.659939403e-08,-9.529714259e-08)	(-1.056442695e-06,-4.226431848e-07)
	(1.490216619e-08,-7.450366573e-08)	(-1.054945883e-06,-4.098567935e-07)	(-1.297859276e-07,2.410646562e-07)	(2.052496764e-08,-1.18050099e-07)	(-1.053736565e-06,-4.169932436e-07)
	(1.725153691e-08,-5.129666086e-08)	(-1.066786649e-06,-3.26884393e-07)	(2.287535468e-08,-7.211443225e-08)	(-1.062728842e-06,-3.339672701e-07)	(2.098970741e-08,-6.946782988e-08)
	(-1.05903603e-06,-3.447427126e-07)	(1.524155975e-08,-4.746297637e-08)	(-1.062322348e-06,-3.374769203e-07)	(-8.544229144e-08,1.690419755e-07)	(2.775676615e-08,-9.373760905e-08)
	(-1.059041451e-06,-3.407681492e-07)	(9.80272067e-35,1.71110113e-33)	(-1.188195769e-06,-5.22855788e-07)	(1.195082846e-33,4.232165033e-34)	(-1.599385965e-06,-7.397012984e-07)
	(6.666101554e-09,-1.691955249e-08)	(-1.117727707e-06,-2.810727312e-07)	(-5.477538045e-34,8.336167668e-34)	(-1.111253063e-06,-2.836630069e-07)	(-1.117903209e-11,-2.208540358e-11)
	(6.779841614e-09,-1.710784337e-08)	(-1.10774451e-06,-2.851661406e-07)	(-5.375838702e-34,7.891191176e-34)	(-1.120683674e-06,-2.803296502e-07)	(-5.160929308e-34,7.110528047e-34)
	(-1.130161066e-06,-2.784373987e-07)	(-1.56771574e-11,-3.699039647e-11)	(6.322984262e-09,-1.639433091e-08)	(-1.12723966e-06,-2.787318712e-07)	(6.510186232e-09,-1.758564652e-08)
	(-1.13779053e-06,-2.778065829e-07)	(-5.04322245e-34,6.696646904e-34)	(-1.139618164e-06,-2.780011665e-07)	(5.964286318e-09,-1.712421109e-08)	(-1.147069065e-06,-2.785057019e-07)
	(-4.574850939e-34,6.023907861e-34)	(-1.148818072e-06,-2.789597247e-07)	(7.132905911e-11,-7.13582363e-11)	(5.277661483e-09,-1.664080034e-08)	(-1.157341741e-06,-2.810785446e-07)
	(-3.874225131e-34,5.146440588e-34)	(-1.16592398e-06,-2.850837108e-07)	(-1.466764421e-11,-4.579964328e-12)	(-3.435534157e-34,4.698412273e-34)	(-1.173394425e-06,-2.899760858e-07)
	(4.658103387e-09,-1.637508145e-08)	(-1.165709465e-06,-2.847504557e-07)	(-4.342614476e-34,5.580609811e-34)	(-1.157602933e-06,-2.813770982e-07)	(1.352597515e-08,-3.456195619e-08)
	(-1.104365087e-06,-2.865262567e-07)	(-7.073562297e-08,1.479923311e-07)	(1.986657794e-08,-5.190403249e-08)	(-1.100307504e-06,-2.882632708e-07)	(1.319604161e-08,-3.378396209e-08)
	(-1.114345123e-06,-2.81850988e-07)	(1.85743364e-08,-4.820793572e-08)	(-1.110311669e-06,-2.829694787e-07)	(2.487470515e-08,-7.523325252e-08)	(-1.067503435e-06,-3.234193374e-07)
	(1.913474177e-08,-5.487057733e-08)	(-1.072139735e-06,-3.171314033e-07)	(-1.021599253e-07,2.063590167e-07)	(2.340510958e-08,-6.625966419e-08)	(-1.076558931e-06,-3.098835506e-07)
	(2.776852355e-08,-8.243770866e-08)	(-1.071587597e-06,-3.156576361e-07)	(3.241770189e-08,-9.391580096e-08)	(-1.083044314e-06,-2.997777759e-07)	(2.735814351e-08,-7.703194404e-08)
	(-1.081441094e-06,-3.030223401e-07)	(-1.489955254e-07,3.050859713e-07)	(3.142955203e-08,-9.296881363e-08)	(-1.076080532e-06,-3.08077819e-07)	(2.6695387e-08,-7.32054554e-08)
	(-1.088630281e-06,-2.959573424e-07)	(3.17645378e-08,-8.974641645e-08)	(-1.09052487e-06,-2.930065569e-07)	(2.450413666e-08,-6.525521516e-08)	(-1.10628743e-06,-2.840444886e-07)
	(2.911410341e-08,-7.987369822e-08)	(-1.102744306e-06,-2.850426371e-07)	(3.202264707e-08,-8.988140184e-08)	(-1.09774037e-06,-2.874355118e-07)	(2.581130952e-08,-6.948948012e-08)
	(-1.096297797e-06,-2.899949576e-07)	(-1.399728846e-07,2.91063453e-07)	(4.943840183e-09,-3.42501366e-08)	(-1.18526889e-06,-5.125117117e-07)	(-1.168214928e-34,1.669043839e-33)
	(-1.179782439e-06,-4.662906329e-07)	(5.696226219e-09,-3.21859927e-08)	(-1.18085961e-06,-4.852193351e-07)	(-1.564268632e-34,1.718392236e-33)	(-1.182507046e-06,-4.943803405e-07)
	(2.179190547e-10,-3.069923793e-11)	(-3.34666314e-34,1.57772261e-33)	(-1.184177925e-06,-4.124640162e-07)	(1.003256781e-08,-4.190695747e-08)	(-1.180381058e-06,-4.322706561e-07)
