49765	
	(-1.248587988e-33,7.864093123e-34)	(7.905063918e-07,-1.266792167e-06)	(3.046818075e-08,-2.670711434e-09)	(8.100970784e-07,-1.326529534e-06)	(-1.409521066e-33,6.72799104e-34)
	(7.623171591e-07,-1.216205927e-06)	(-1.500318213e-33,6.149235408e-34)	(7.772657162e-07,-1.240485373e-06)	(2.982088532e-10,2.399152818e-10)	(3.708891311e-08,-8.415614018e-10)
	(7.744380949e-07,-1.234433406e-06)	(3.696873782e-08,-1.607829738e-09)	(7.886780393e-07,-1.261506267e-06)	(-1.616778376e-33,4.555442391e-34)	(7.451599119e-07,-1.193984017e-06)
	(9.817213966e-11,8.881647004e-11)	(2.691510396e-08,8.154007404e-10)	(7.321251108e-07,-1.179231863e-06)	(8.404422123e-08,3.594739047e-09)	(7.117082737e-07,-1.157945006e-06)
	(5.404283321e-08,2.386849387e-09)	(7.183570101e-07,-1.165232856e-06)	(-1.698011059e-07,-1.200345364e-07)	(7.168791417e-08,1.815823789e-09)	(7.316392873e-07,-1.176990449e-06)
	(4.508109264e-08,8.37048549e-10)	(7.444653563e-07,-1.192275279e-06)	(3.758455602e-08,-3.512691344e-11)	(7.587914482e-07,-1.21072586e-06)	(9.211000759e-08,-8.967501848e-09)
	(8.092369831e-07,-1.310461265e-06)	(1.010673356e-07,2.198873082e-09)	(7.255740204e-07,-1.168894938e-06)	(1.395627435e-07,3.463092754e-09)	(7.045382555e-07,-1.147165539e-06)
	(1.251873571e-07,7.023358173e-09)	(6.82815216e-07,-1.133620522e-06)	(1.134535717e-07,4.354278962e-09)	(7.051590191e-07,-1.150358459e-06)	(-3.593022369e-07,-2.526081927e-07)
	(1.296899186e-07,1.527285812e-09)	(7.216169758e-07,-1.16233567e-06)	(6.397385089e-08,2.568658252e-08)	(3.733513399e-07,-1.207888342e-06)	(8.510443356e-08,3.459715484e-08)
	(3.702106747e-07,-1.215715937e-06)	(6.054487143e-08,2.481739223e-08)	(3.702356649e-07,-1.222425573e-06)	(-2.354173043e-07,-1.317477455e-07)	(6.153179178e-08,2.560350627e-08)
	(3.689185925e-07,-1.234909983e-06)	(8.456218947e-08,3.511717362e-08)	(3.679168572e-07,-1.230518141e-06)	(4.090435972e-08,1.727816722e-08)	(3.733086707e-07,-1.268586338e-06)
	(-1.724624887e-07,-9.556684668e-08)	(5.152166349e-08,2.174729329e-08)	(3.705728444e-07,-1.258092867e-06)	(6.742535834e-08,2.863048629e-08)	(3.720632173e-07,-1.268457561e-06)
	(4.979666246e-08,2.100786747e-08)	(3.765233223e-07,-1.279136969e-06)	(6.247362968e-08,2.625861875e-08)	(3.688747282e-07,-1.247176803e-06)	(-2.541530713e-07,-1.412146712e-07)
	(8.502904421e-08,3.5767429e-08)	(3.674032374e-07,-1.243004533e-06)	(7.832714371e-08,3.329106746e-08)	(3.691382288e-07,-1.257867887e-06)	(7.161109231e-08,2.46484833e-08)
	(4.095087731e-07,-1.147818445e-06)	(-2.449089962e-07,-1.438228773e-07)	(7.245063883e-08,2.576521632e-08)	(4.002614499e-07,-1.157652088e-06)	(9.199006176e-08,3.050545546e-08)
	(4.162792524e-07,-1.140307022e-06)	(1.034972793e-07,3.548797483e-08)	(4.053840541e-07,-1.149758334e-06)	(1.127104185e-07,3.581091622e-08)	(4.234521277e-07,-1.13280789e-06)
	(-3.770278508e-07,-2.244570593e-07)	(1.294938113e-07,3.972078369e-08)	(4.284960589e-07,-1.127669449e-06)	(1.240182392e-07,4.099164395e-08)	(4.116059806e-07,-1.141663621e-06)
	(8.916032446e-08,3.532287244e-08)	(3.74144601e-07,-1.201008103e-06)	(6.759891867e-08,2.63841035e-08)	(3.783650168e-07,-1.193365881e-06)	(-2.500334625e-07,-1.418306089e-07)
	(7.033239184e-08,2.67360272e-08)	(3.845353593e-07,-1.18057158e-06)	(1.037670478e-07,3.690150083e-08)	(3.964044729e-07,-1.159865586e-06)	(7.318739587e-08,2.685821754e-08)
	(3.922503045e-07,-1.168098376e-06)	(-2.591673533e-07,-1.496128943e-07)	(9.919727721e-08,3.816624769e-08)	(3.790156634e-07,-1.187694946e-06)	(1.025740126e-07,3.823430109e-08)
	(3.858541146e-07,-1.174858512e-06)	(3.454185728e-08,1.40508218e-08)	(3.921929005e-07,-1.304710907e-06)	(-1.560914326e-07,-8.684366302e-08)	(3.496401168e-08,1.384939075e-08)
	(4.00520079e-07,-1.313733138e-06)	(4.629984365e-08,1.91499041e-08)	(3.861441158e-07,-1.297253467e-06)	(5.264534228e-08,2.13781161e-08)	(3.942691376e-07,-1.308293242e-06)
	(3.65805722e-08,1.342818319e-08)	(4.19798017e-07,-1.328059808e-06)	(5.275195493e-08,2.078943586e-08)	(4.029631507e-07,-1.316999946e-06)	(5.396187583e-08,2.055833592e-08)
	(4.120584751e-07,-1.324176547e-06)	(3.542313382e-08,1.356239399e-08)	(4.098725265e-07,-1.321560092e-06)	(-1.658724979e-07,-9.309825246e-08)	(7.695549864e-08,3.245510894e-08)
	(3.816754103e-07,-1.293442368e-06)	(6.441216857e-08,2.668378805e-08)	(3.877183445e-07,-1.301204495e-06)	(7.563250926e-08,3.216840398e-08)	(3.750175071e-07,-1.279211888e-06)
	(5.835640887e-08,2.449910417e-08)	(3.807072368e-07,-1.289221362e-06)	(-2.571743202e-07,-1.425181063e-07)	(9.413728285e-08,4.040366092e-08)	(3.752731038e-07,-1.283731706e-06)
	(4.14173745e-08,1.359096636e-08)	(4.413204104e-07,-1.337376888e-06)	(5.754667987e-08,1.995206812e-08)	(4.322834994e-07,-1.335233203e-06)	(5.484440485e-08,1.998584056e-08)
	(4.22233477e-07,-1.330400096e-06)	(3.775774402e-08,1.315919029e-08)	(4.304353932e-07,-1.333313508e-06)	(-1.814627325e-07,-1.030810405e-07)	(7.419980519e-08,2.703953944e-08)
	(4.237485441e-07,-1.33282848e-06)	(-2.18743101e-34,-9.73973262e-34)	(3.606182879e-07,-1.5565898e-06)	(-2.10132014e-33,-4.147205098e-34)	(6.011195624e-07,-1.182928451e-06)
	(1.672543807e-08,2.269096261e-09)	(5.26382576e-07,-1.327649656e-06)	(-3.727771294e-34,5.65354905e-35)	(5.173969387e-07,-1.331523039e-06)	(-3.693547541e-11,3.392301501e-11)
	(1.619000219e-08,2.762868665e-09)	(5.122701429e-07,-1.333641739e-06)	(-3.521681977e-34,8.750727144e-35)	(5.304789931e-07,-1.325324456e-06)	(-4.328202443e-34,1.787552368e-34)
	(5.430378895e-07,-1.317689084e-06)	(-5.284198735e-11,5.321201554e-11)	(1.697499224e-08,1.747831938e-09)	(5.391548004e-07,-1.32045756e-06)	(1.909244012e-08,1.32183846e-09)
	(5.525934012e-07,-1.310783e-06)	(-4.000440849e-34,2.061145191e-34)	(5.549723174e-07,-1.308551876e-06)	(1.95206436e-08,7.901724141e-10)	(5.639146338e-07,-1.300626962e-06)
	(-5.093262083e-34,2.839502981e-34)	(5.661814059e-07,-1.298174949e-06)	(-3.366410585e-10,1.020791457e-10)	(2.000391941e-08,1.935602789e-10)	(5.75810532e-07,-1.287229358e-06)
	(-5.672801422e-34,3.645535382e-34)	(5.854329356e-07,-1.273526573e-06)	(2.782138369e-11,3.893980874e-12)	(-6.155185594e-34,4.056177715e-34)	(5.933043378e-07,-1.259878417e-06)
	(2.034162778e-08,-2.200341027e-10)	(5.851358868e-07,-1.274427042e-06)	(-5.041558568e-34,3.186255356e-34)	(5.761491499e-07,-1.286348756e-06)	(3.21421524e-08,5.882482749e-09)
	(5.07141525e-07,-1.335861388e-06)	(-1.55001603e-07,-9.318280541e-08)	(4.731543721e-08,9.355883278e-09)	(5.008119348e-07,-1.33843386e-06)	(3.280984503e-08,4.827333071e-09)
	(5.215023341e-07,-1.330516007e-06)	(4.583474125e-08,7.388933713e-09)	(5.155583933e-07,-1.333692131e-06)	(6.089150674e-08,1.986050525e-08)	(4.433270128e-07,-1.339159202e-06)
	(4.505497394e-08,1.383474499e-08)	(4.526517027e-07,-1.34019555e-06)	(-2.205058982e-07,-1.272224232e-07)	(5.521637552e-08,1.595788332e-08)	(4.612427283e-07,-1.342010869e-06)
	(6.755324885e-08,2.087466789e-08)	(4.51845887e-07,-1.341669484e-06)	(7.949627161e-08,2.105648377e-08)	(4.726298526e-07,-1.344772053e-06)	(6.516897115e-08,1.757476176e-08)
