80107	
	(-0.8676959994,0.1678514009)	(0.01998280375,-0.05266774461)	(-0.8528049919,0.2289935882)	(0.04636184675,-0.1018007839)	(-0.8639109156,0.1741086465)
	(-3.354940406e-33,1.803962927e-32)	(-0.5295639144,0.6998295302)	(-0.01170273103,-0.03637827192)	(-0.5153981863,0.7096361532)	(-0.01524584694,-0.04047862966)
	(-0.4793151095,0.7336951182)	(-2.470063821e-33,1.784550371e-32)	(-0.4951981453,0.7239119611)	(6.270372463e-07,-1.10613174e-06)	(-0.02650022337,-0.07689602358)
	(-0.4989023806,0.7195008579)	(-6.716417827e-33,1.735855503e-32)	(-0.6546092628,0.5876358773)	(-0.004488593004,-0.04865850007)	(-0.6600753028,0.5807240435)
	(-0.00148325249,-0.06139617308)	(-0.6983967377,0.5346156585)	(0.001315997589,-0.06153182156)	(-0.7226390558,0.5021416714)	(-8.298464924e-33,1.674410018e-32)
	(-0.7075554321,0.5241360435)	(-8.827421239e-33,1.596045037e-32)	(-0.731335041,0.4912734762)	(-5.833166473e-06,1.172929615e-05)	(0.002575276342,-0.04468895189)
	(-0.7414137422,0.4754214797)	(-7.279900474e-33,1.649036947e-32)	(-0.6823492421,0.5559012425)	(2.320993986e-05,-1.065112933e-05)	(-0.003565903776,-0.05908999341)
	(-0.6786509739,0.5589866974)	(0.0301554181,-0.1041609617)	(-0.8282608124,0.2983082552)	(0.01151356584,-0.1378653968)	(-0.7484252299,0.4568779901)
	(0.004540935562,-0.1059019693)	(-0.7313669363,0.4864402293)	(0.007091456358,-0.08915790918)	(-0.7499933004,0.4593809198)	(0.009251635484,0.01011008609)
	(0.01117443421,-0.09391894823)	(-0.7676261,0.4295745549)	(0.02021791471,-0.1002840479)	(-0.8001599169,0.3662089851)	(0.03135719299,-0.1505836332)
	(-0.7986100822,0.3620724579)	(0.02494786328,-0.1018343839)	(-0.8149001332,0.3326956902)	(0.00880294252,0.01357750398)	(0.02469599147,-0.1491745226)
	(-0.7827362099,0.3948407626)	(0.01751361878,-0.1424365445)	(-0.7658003221,0.4271302122)	(0.03795744967,-0.1478460197)	(-0.8150624999,0.3246662338)
	(0.01567188057,-0.09852398982)	(-0.7840321619,0.3990394166)	(0.009399161669,0.01212953313)	(1.797118336e-32,5.74817234e-33)	(0.4997008337,0.676966307)
	(-0.0583558883,0.007468692972)	(0.5274362385,0.6560556987)	(1.777395601e-32,4.709457334e-33)	(0.5321835012,0.653536845)	(3.610437137e-05,2.484850152e-05)
	(-0.04374429349,0.00753545216)	(0.5567955057,0.6335696937)	(-0.08677826974,0.01816385805)	(0.5804524443,0.6116212676)	(0.01126443152,-0.01370743111)
	(-0.101566249,0.01676497129)	(0.5519776699,0.6348242712)	(-0.1045192152,0.02709860907)	(0.6103607171,0.5824322228)	(-0.1339713853,0.0293251229)
	(0.5862266446,0.6028541786)	(1.636968953e-32,8.80186948e-33)	(0.3595165558,0.7539774677)	(1.726445108e-32,7.336726038e-33)	(0.4314320686,0.7188725842)
	(-0.04889155646,0.001302688303)	(0.4546050124,0.704979867)	(1.710390973e-32,6.233818023e-33)	(0.4660119982,0.6987127193)	(0.0001275335329,0.000111559634)
	(-0.05857026283,0.004777954339)	(0.4948117259,0.6792394563)	(1.641880179e-32,7.754056225e-33)	(0.395874092,0.7372800355)	(3.872359024e-05,4.42699144e-05)
	(-0.04884183913,-0.0009673938832)	(0.4196960762,0.724543222)	(-0.04375153688,-0.002894507253)	(0.3837585176,0.742569204)	(1.556931846e-32,9.185944936e-33)
	(0.3223774945,0.7688400575)	(2.120337028e-05,2.418886836e-05)	(1.537491043e-32,1.018764741e-32)	(0.2845935246,0.7818962981)	(-0.04398197411,-0.007280773784)
	(0.3057738962,0.7743217533)	(-0.04351698745,-0.004920569027)	(0.3471463186,0.7586471151)	(1.453789167e-32,1.046976361e-32)	(0.2462203772,0.7930579614)
	(2.40643556e-05,4.636221476e-05)	(-0.04625153406,-0.01192872138)	(0.2331909863,0.7958367612)	(-0.04352541893,-0.009290959648)	(0.2677415707,0.7865460998)
	(1.430095636e-32,1.154710873e-32)	(0.2075008625,0.8023870062)	(1.172543683e-32,1.365369929e-32)	(0.05008853781,0.8202285246)	(-0.040975171,-0.02222515167)
	(0.02597884309,0.819692231)	(1.032886451e-32,1.457941845e-32)	(-0.02893540515,0.8175898118)	(-0.03345575677,-0.01985141329)	(-0.006845639623,0.8187233519)
	(1.088303268e-32,1.373012684e-32)	(0.01053720728,0.8198682071)	(2.222654497e-06,2.155250484e-05)	(-0.15625923,0.0901513026)	(0.7507250426,0.3908879905)
	(-0.1800809899,0.1217377315)	(0.7768822121,0.3316653693)	(-0.148615232,0.0957587106)	(0.7708011995,0.3534676906)	(0.01007693912,-0.03280833061)
	(-0.1509701724,0.1067006139)	(0.7861999445,0.3188680265)	(-0.1790938913,0.1096390287)	(0.7600565852,0.3676663584)	(-0.07315990556,0.06901466957)
	(0.831684348,0.2090203192)	(0.002142508773,-0.01905148312)	(-0.08715238994,0.07262875744)	(0.8149433096,0.2599909141)	(0.003780259506,-0.02141941104)
	(-0.09806779711,0.0971338272)	(0.8355120964,0.1863315061)	(-0.1196765807,0.09608135556)	(0.8078216979,0.2722370582)	(-0.08008197267,0.07101012345)
	(0.8236900943,0.2346540452)	(-0.1174291949,0.1082563041)	(0.8261776831,0.214924927)	(-0.1254787387,0.1087197297)	(0.8179130114,0.2402087845)
	(-0.1467554351,0.1963219263)	(0.8482396577,0.04931384828)	(-0.128106314,0.1439856247)	(0.8435649349,0.1280435369)	(-0.1411653962,0.1365904179)
	(0.8293665557,0.1914514924)	(-0.1509097038,0.1569058741)	(0.8349473921,0.1587583112)	(-0.1213966889,0.1261564443)	(0.8381861682,0.1630410286)
	(0.001820688247,-0.03326424819)	(-0.1561805657,0.1756090045)	(0.8398864842,0.1235966975)	(-0.1650557676,0.1988733695)	(0.8419379648,0.09166164535)
	(-0.1335298964,0.1624077228)	(0.8474112814,0.09277687042)	(-0.001037064391,-0.03985249437)	(-0.1810843809,0.1340618478)	(0.7911934285,0.296670376)
	(-0.1911560656,0.1520819974)	(0.8006101855,0.2661780833)	(-0.1575893352,0.1315571454)	(0.810348636,0.2516342165)	(-0.1526335139,0.1179879451)
	(0.7999831461,0.2835925635)	(0.007726476438,-0.03640057934)	(-0.1873694251,0.1023970123)	(0.739196863,0.404428324)	(-0.1637303648,0.08399599494)
	(0.7287464362,0.4271954425)	(0.01398523434,-0.03322761034)	(-0.1768145691,0.08082644826)	(0.7066864093,0.4587282894)	(-0.2090917583,0.100991379)
	(0.7154264678,0.4386645527)	(-0.1898772681,0.07659512705)	(0.6832343774,0.4891178469)	(0.01925502565,-0.03561020246)	(-0.1509023566,0.04059342612)
	(0.6156338434,0.5728902868)	(-0.1566424894,0.05579798916)	(0.6619122278,0.5212498421)	(-0.2227283823,0.09537811268)	(0.6928124161,0.4692989147)
	(-0.2118570012,0.07780928595)	(0.6657083594,0.507563219)	(-0.1786242133,0.05738363022)	(0.6436383049,0.5394278381)	(-0.1215669115,0.03771430223)
	(0.6388125754,0.5516333182)	(0.01406362363,-0.02103122875)	(-0.01710266158,-0.03960282267)	(-0.4434433817,0.7552737678)	(3.821372154e-35,1.825053891e-32)
	(-0.3854277252,0.7859498326)	(-0.0229696265,-0.04675487292)	(-0.4049508273,0.7756917841)	(-8.080342208e-34,1.78405007e-32)	(-0.4233316289,0.7668885609)
	(4.748859609e-06,-9.59294463e-06)	(0.03581063412,-0.0407112957)	(-0.8808822269,-0.0886640507)	(-1.673868975e-32,7.876932507e-33)	(-0.8844101039,-0.0495741835)
	(2.326124244e-05,8.876566979e-06)	(0.02311597303,-0.03657631614)	(-0.8831576537,0.05181767853)	(-1.609610133e-32,9.41621027e-33)	(-0.8846486017,0.0325495232)
	(-8.801675955e-06,7.811293507e-06)	(0.03631157092,-0.05291146557)	(-0.8841871334,0.01888106124)	(0.0387663188,-0.05130450715)	(-0.8843692993,-0.02214181572)
	(0.04059375907,-0.04976037954)	(-0.8831194465,-0.05605081077)	(-1.702005162e-32,8.926822507e-33)	(-0.8855340117,-0.008480936406)	(0.05866395942,-0.08955243361)
	(-0.8816982986,0.0389670861)	(0.04457154978,-0.07389382511)	(-0.8803535068,0.07154103558)	(0.003630934443,0.012951534)	(0.04319922628,-0.07844910876)
	(-0.8763866727,0.1065733677)	(0.06518097459,-0.1191842156)	(-0.8733601905,0.1107954158)	(0.061901893,-0.1253222869)	(-0.8673522962,0.1475196475)
	(0.04153712122,-0.08300084749)	(-0.8710461951,0.1414040926)	(0.005019115549,0.01352632243)	(0.0682221188,-0.1138321457)	(-0.8775632571,0.07583754242)
	(0.06536673606,-0.05648124079)	(-0.8600477668,-0.2083897973)	(-0.00074987124,0.01362730113)	(0.09164181146,-0.0729105038)	(-0.8497932486,-0.2421787159)
	(0.07061737201,-0.06698610527)	(-0.8682304562,-0.1675923576)	(0.1057155158,-0.09224689987)	(-0.858759729,-0.2013645858)	(0.07505588608,-0.07805027155)
	(-0.8744011524,-0.1264710701)	(0.0008471770142,0.01702251559)	(0.1090774232,-0.1044341772)	(-0.8663633392,-0.1604113398)	(0.07878091644,-0.08807546219)
	(-0.877813884,-0.09383187663)	(0.1134833387,-0.1188199647)	(-0.871632911,-0.1200737371)	(-1.421659298e-32,-1.376756787e-32)	(-0.2354601434,-0.8552333707)
	(-1.946693813e-32,-1.14204531e-33)	(-0.7478901835,-0.4781345754)	(0.05791342176,-0.02506357725)	(-0.757626038,-0.4606980305)	(0.04230991396,-0.02038325131)
	(-0.7758665848,-0.4299111649)	(-1.899855784e-32,-2.231999634e-34)	(-0.7694082562,-0.4425280584)	(7.176845701e-05,2.639112643e-05)	(0.1330594952,-0.1068780463)
	(-0.8481696735,-0.2344006668)	(0.1715030339,-0.1371090583)	(-0.8441915266,-0.2316059394)	(0.135686108,-0.06776784183)	(-0.7796163636,-0.4127653635)
	(0.1028120608,-0.05598094996)	(-0.7949573083,-0.3871540842)	(0.1000040216,-0.04511758406)	(-0.7637552269,-0.4468040139)	(0.08375582112,-0.04191221812)
	(-0.7815862348,-0.4161482235)	(-0.004490264181,0.01426610934)	(0.1208202355,-0.07130065951)	(-0.8071002809,-0.3574885679)	(-0.005202097518,0.02176065264)
	(0.1192418441,-0.08718055646)	(-0.8378917999,-0.2750768109)	(-0.003096975357,0.02326547534)	(0.1533956792,-0.08337838916)	(-0.7924956575,-0.3831914617)
	(0.1202942919,-0.07918761464)	(-0.8235068693,-0.3166453448)	(0.1628754532,-0.1091532993)	(-0.8233683327,-0.3051371757)	(0.1594111751,-0.1160145377)
	(-0.8344323994,-0.272609351)	(0.1649881426,-0.09920518526)	(-0.807564583,-0.3460665611)	(0.0004457035952,0.04345053241)	(0.7249915366,-0.490609223)
	(7.277220891e-33,-1.805638483e-32)	(0.7164513053,-0.5041718037)	(3.296472441e-05,-4.461923562e-05)	(0.002696078073,0.04881497546)	(0.7021647041,-0.523665614)
	(6.66027699e-33,-1.873397025e-32)	(0.6931139943,-0.5369126297)	(-0.08778207198,0.2012532003)	(0.8442953979,-0.1491695378)	(-0.01272069885,-0.03867014905)
	(-0.09579500695,0.2348919208)	(0.8363806279,-0.1723882726)	(-0.07687199027,0.1975105549)	(0.8391110778,-0.1833476488)	(-0.1072614158,0.2259843403)
	(0.8442251308,-0.1238642263)	(-0.06640039471,0.193183829)	(0.8325169877,-0.2173429949)	(-0.01459287817,-0.03468347344)	(-0.08373447469,0.2315028888)
	(0.8304006895,-0.2061933392)	(-0.07295793643,0.2328258978)	(0.8215539146,-0.2428519808)	(-0.05754584574,0.188903062)	(0.825549139,-0.2470770756)
	(-0.04910100728,0.1842324669)	(0.8174814593,-0.2765658332)	(-0.01584374745,-0.03110490243)	(-0.06293327975,0.2288387939)	(0.8138168876,-0.2721402756)
	(-0.03958694471,0.1842841479)	(0.8037180902,-0.3171611904)	(-0.05214201003,0.2176521331)	(0.8064981798,-0.2991292519)	(-0.01860695081,0.1479349379)
	(0.7778587345,-0.3865655525)	(-0.03022379172,0.1838681525)	(0.7879631931,-0.3570444992)	(-0.01838492273,-0.0284394819)	(-0.04106620897,0.2178335867)
	(0.7916895449,-0.3391605364)	(-0.03438515698,0.2299791175)	(0.7770645265,-0.370184863)	(-0.02349911863,0.1951685352)	(0.7710177552,-0.3918973345)
	(-0.009723475507,0.1109773276)	(0.7658571055,-0.41586715)	(-0.01207792658,-0.01607800776)	(-0.0007207365751,0.08675487846)	(0.732250259,-0.4768959123)
	(-0.01033183486,-0.01160502176)	(0.003374602619,0.09207321303)	(0.7098886182,-0.5102561029)	(-0.004970698542,0.1496301476)	(0.7394448568,-0.4584138146)
	(-0.004715549257,0.09896425364)	(0.7497208599,-0.4467262525)	(0.0008499816764,0.1375211949)	(0.7218841731,-0.4881971089)	(-0.01303182083,0.1589369398)
	(0.7597968081,-0.4208541697)	(0.007130001571,0.04779361887)	(0.6504594325,-0.5886301785)	(4.985711661e-33,-1.928103624e-32)	(0.6420521124,-0.5988775794)
	(5.64973174e-33,-1.86236796e-32)	(0.6682684278,-0.5684955899)	(2.244961951e-05,-3.855787594e-05)	(0.004883622964,0.04862253179)	(0.6779294914,-0.5557010854)
	(-0.1761720525,0.2332891484)	(0.8419516694,0.04786679863)	(-0.1567805254,0.2311534297)	(0.8462961982,0.005638158952)	(-0.006757832458,-0.05235894558)
	(-0.171014096,0.2670360885)	(0.8409627939,-0.02178258622)	(-0.1427492528,0.2405854069)	(0.8462462427,-0.04670825758)	(-0.1857294134,0.2626627282)
	(0.8393397123,0.01696731587)	(-0.1548056137,0.2772688236)	(0.8392535546,-0.07375349986)	(-0.1154429394,0.259092481)	(0.836505544,-0.1474987719)
	(-0.1281703615,0.2491406036)	(0.8429474511,-0.09895208278)	(-0.01321364781,-0.05078186893)	(-0.1314304009,0.28594058)	(0.832741165,-0.1405597259)
	(-0.1441693115,0.2842860782)	(0.8361329825,-0.1080043563)	(-0.03976950308,-0.1103953216)	(-0.4865762164,0.7256123171)	(-0.03959987493,-0.08636363351)
	(-0.4241457718,0.7639584393)	(-0.03204784761,-0.08005617517)	(-0.4622594879,0.7426851457)	(0.012180443,0.004577210372)	(-0.0513584861,-0.1222921719)
