22269	
	(0.0035728117,0.004097934565)	(0.0009115639881,0.0008500213816)	(0.002848130275,0.003412865853)	(0.0006758723343,0.0006774446697)	(0.003458356083,0.003880405763)
	(0.0009322719713,0.0008702867856)	(0.002875450251,0.003355870111)	(0.0007264566182,0.0007192680832)	(-0.01954105712,-0.01767151273)	(0.002849604295,0.003585880123)
	(0.0005996909567,0.0006081722614)	(0.003540722242,0.004166265975)	(0.0008519710741,0.0008013564757)	(0.003566344245,0.004387814428)	(0.0007686059786,0.0007226217052)
	(0.003483325489,0.004409296658)	(0.0007000025108,0.0006607275532)	(0.003558129506,0.004282531252)	(0.0008102547055,0.000762989802)	(0.002874420259,0.00369949488)
	(0.0005691048597,0.0005762016154)	(-0.01951543226,-0.0186095875)	(0.002833755433,0.003485599536)	(0.0006316662676,0.0006389774096)	(-0.0195399127,-0.01816695383)
	(0.004143491092,0.004572280317)	(0.001124372645,0.0009914102037)	(0.003908846627,0.004143309596)	(0.001167828214,0.001030892941)	(0.004638266332,0.004781165043)
	(0.001423172335,0.001182437905)	(0.004520073241,0.004574194609)	(0.001447251408,0.001201654336)	(0.004139492903,0.004163768744)	(0.00136300265,0.001154016604)
	(0.004652145636,0.00493741756)	(0.001342221867,0.001125511489)	(0.003779987788,0.00393151479)	(0.001180770276,0.00104013126)	(-0.01941262497,-0.01675377475)
	(0.004046283526,0.004368716972)	(0.001156290658,0.001019360969)	(-0.01945391221,-0.01725187748)	(0.004507191847,0.004385691172)	(0.001559129226,0.001268677328)
	(-0.01928831023,-0.01624483581)	(0.004463963158,0.004233668088)	(0.001623131758,0.001302558054)	(0.005047121128,0.004756558309)	(0.001813542419,0.001404966966)
	(0.004872743995,0.004771828449)	(0.001639599503,0.001310555744)	(0.004437261531,0.004099356427)	(0.0016944252,0.001337997251)	(-0.01915032752,-0.01561775104)
	(0.004584543367,0.0041028053)	(0.00184232487,0.001412413022)	(0.005019851578,0.004491897751)	(0.001983760223,0.001489390471)	(0.005015957511,0.004608138674)
	(0.001891281496,0.00144510222)	(0.0052291071,0.005302797576)	(0.001615161063,0.001279313248)	(0.003370504749,0.004888474202)	(0.0004551031225,0.0003678844537)
	(0.003990932238,0.005668436345)	(0.0005567756308,0.0003937344392)	(0.003863264216,0.005665775559)	(0.0004885875786,0.0003131776622)	(0.003173066525,0.004760063625)
	(0.0003861407026,0.0002977261801)	(-0.01920004584,-0.0199871333)	(0.003973966786,0.00509008708)	(0.0007541004097,0.0006601695218)	(0.004532115051,0.005726341582)
	(0.0008652098459,0.0007006344238)	(0.003724295823,0.005063414629)	(0.0006046120016,0.0005156798725)	(0.003880355866,0.00511328038)	(0.0006839184142,0.0005910613427)
	(-0.01937442183,-0.01917617032)	(0.004353684549,0.005804740178)	(0.000721853707,0.0005543591961)	(0.004205363381,0.005784097605)	(0.0006407958233,0.0004722967874)
	(0.003581006891,0.005023695234)	(0.0005321259169,0.0004416863145)	(-0.01929128892,-0.01960433229)	(0.00451304755,0.005838134448)	(0.0008082815485,0.0006351804734)
	(0.004674343642,0.006499710696)	(0.0006684633637,0.0004002231188)	(0.00407929082,0.005078368612)	(0.0008306198178,0.0007305165464)	(-0.01943311634,-0.01872058718)
	(0.00416566246,0.005044675454)	(0.0009066020916,0.0007982936294)	(0.004638770105,0.005701265762)	(0.000947446109,0.0007758758707)	(0.004794148433,0.00571865478)
	(0.001048008459,0.0008580910879)	(0.00121708435,0.002588801913)	(1.543673277e-06,-0.0001073754092)	(0.003788987215,0.005716384938)	(0.0004361979919,0.0002396483055)
	(0.00140788213,0.002761588886)	(3.873292558e-05,-3.86148198e-05)	(0.001284316846,0.002619691657)	(1.836859621e-05,-7.02302746e-05)	(-0.01878677333,-0.02109922403)
	(0.001934290066,0.003865052568)	(4.562578662e-05,-0.000146393178)	(0.002035537865,0.003908425669)	(7.220788862e-05,-9.346718446e-05)	(0.003084444316,0.005045932107)
	(0.000269385343,0.0001005656581)	(0.002261063852,0.003811557824)	(0.0001790487286,0.0001093994008)	(0.002320071765,0.004125533322)	(0.0001391323221,8.085369175e-06)
	(0.002183481987,0.004043824206)	(0.0001021983648,-5.017319364e-05)	(0.001519024082,0.00279406164)	(7.394575863e-05,2.631392424e-05)	(0.00154316115,0.002913888973)
	(6.155545204e-05,-6.208814694e-06)	(-0.01893256618,-0.02083494467)	(0.003051338608,0.004857451068)	(0.0002990887201,0.0001696338621)	(-0.01905498016,-0.02036442204)
	(0.003684910534,0.005743218574)	(0.0003786058408,0.0001576263535)	(0.00149906421,0.002686152381)	(8.68961292e-05,5.75248006e-05)	(-0.01909891011,-0.02056228255)
	(0.002314956827,0.004017351842)	(0.0001581516223,5.348943543e-05)	(0.002662165215,0.002278713647)	(0.001229296213,0.0009777789259)	(0.00267363289,0.002345309517)
	(0.001184490365,0.0009625348322)	(-0.01886630621,-0.01445905437)	(0.003296611355,0.00278155926)	(0.001528245906,0.001175191043)	(0.003269548564,0.002846702082)
	(0.001439914403,0.001138779015)	(6.08589839e-35,3.923053525e-35)	(-1.79099527e-34,-1.245023635e-34)	(0.000729827949,0.0005461854614)	(0.0004326742225,0.0003187541892)
